Activity,Exchange,Amount,Unit,GHG Impact (kgCO2eq/pair),Contribution (%),Total Activity Impact (kgCO2eq/pair)
"Sneaker Shoe Assembly, Global average electricity",market for butyrolactone,0.0002,kilogram,0.0012229775980702403,0.14426724792064435,1.013814640894939
"Sneaker Shoe Assembly, Global average electricity",market for dipropylene glycol monomethyl ether,0.000229,kilogram,0.0012095356194786692,0.1426815792533898,1.013814640894939
"Sneaker Shoe Assembly, Global average electricity","market for N,N-dimethylformamide",0.000275,kilogram,0.001018784883016861,0.12017987208262555,1.013814640894939
"Sneaker Shoe Assembly, Global average electricity",market for N-methyl-2-pyrrolidone,0.0001325,kilogram,0.0009765723429127754,0.11520031481341178,1.013814640894939
"Sneaker Shoe Assembly, Global average electricity",market for n-butyl acetate,0.0001775,kilogram,0.0009161725991586524,0.10807532346420884,1.013814640894939
"Sneaker Shoe Assembly, Global average electricity",market for titanium dioxide,0.00010752809569202301,kilogram,0.000712745053693256,0.08407821004050169,1.013814640894939
"Sneaker Shoe Assembly, Global average electricity",market for dimethyl malonate,6e-05,kilogram,0.00046748998141580005,0.055146957029916996,1.013814640894939
"Sneaker Shoe Assembly, Global average electricity","market for toner, colour, powder",6e-05,kilogram,0.0004202211096947633,0.04957093499462516,1.013814640894939
"Sneaker Shoe Assembly, Global average electricity",market for isophorondiisocyante,6e-05,kilogram,0.000377274000874067,0.044504725110252094,1.013814640894939
"Sneaker Shoe Assembly, Global average electricity",market for cyclohexanone,7.5e-05,kilogram,0.00037027660116372357,0.04367928431689262,1.013814640894939
"Sneaker Shoe Assembly, Global average electricity",market for acetic acid,0.00013749999999999998,kilogram,0.00035568569035295775,0.04195808308585922,1.013814640894939
"Sneaker Shoe Assembly, Global average electricity","market for calcium carbonate, precipitated",0.00018,kilogram,0.0002716182137633855,0.032041152876877414,1.013814640894939
"Sneaker Shoe Assembly, Global average electricity",market for carbon black,0.00010752809569202301,kilogram,0.00025959726660411045,0.03062311466685249,1.013814640894939
"Sneaker Shoe Assembly, Global average electricity",market for methyl methacrylate,2.29e-05,kilogram,0.00015179295460829317,0.017906093987033123,1.013814640894939
"Sneaker Shoe Assembly, Global average electricity",market for methylene diphenyl diisocyanate,2.6e-05,kilogram,0.00014910114231031393,0.01758855722040618,1.013814640894939
"Sneaker Shoe Assembly, Global average electricity","market for polyethylene, low density, fines",0.000155,kilogram,5.080079145003639e-05,0.005992661178955154,1.013814640894939
"Sneaker Shoe Assembly, Global average electricity",market for kaolin,0.00025,kilogram,5.070839568377544e-05,0.005981761810938096,1.013814640894939
"Sneaker Shoe Assembly, Global average electricity",market for silica sand,0.0005,kilogram,2.121257078690707e-05,0.0025023182874141054,1.013814640894939
"Sneaker Shoe Assembly, Global average electricity","market for water, deionised",0.01164508255695837,kilogram,5.570227141326446e-06,0.0006570859034867541,1.013814640894939
"Sneaker Shoe Assembly, Global average electricity","market for water, decarbonised",0.01975,kilogram,1.925961713706313e-06,0.00022719401931430925,1.013814640894939
"Sneaker Shoe Assembly, Global average electricity","treatment of municipal solid waste, open dump, hyperarid infiltration class (-250mm)",0.006,kilogram,-0.004703964908916883,-0.5548982032013859,1.013814640894939
