descriptor,Activity,ACD,ETF,FRU,FWE,GHG,HTC,HTN,IOR,LDU,MRU,OZD,PCO,PMA,SWE,TRE,WTU,P_dqr,TiR_dqr,TeR_dqr,GR_dqr,Input_required_kg
MATERIAL_PROCESS_STEP:YARN_FORMATION/SPINNING/RING#SYNTHETIC_FIBERS/POLYESTER?DTEX=45@WORLD,"Spinning to yarn, Polyester (PET, PBT, PTT, PLA etc), 45 dtex, Ring Spinning",0.0836432214290199,41.693583703047906,221.98623487042136,0.0078620346327986,16.757962689829988,1.871083521408295e-09,9.849774522725955e-08,2.208943868505587,32.048584376387254,1.6882955290970665e-05,1.0505217354431737e-07,0.0498440189081133,7.901452512558429e-07,0.0171425783925382,0.1715163903385143,4.082911920672796,2.0,2.0,2.0,3.0,1.0748
MATERIAL_PROCESS_STEP:YARN_FORMATION/SPINNING/RING#SYNTHETIC_FIBERS/POLYESTER?DTEX=330@WORLD,"Spinning to yarn, Polyester (PET, PBT, PTT, PLA etc), 330 dtex, Ring Spinning",0.0082676711261153,4.240619041366109,22.35800190651864,0.0007746290751655,1.6847309446785164,2.0052891371689696e-10,9.929286830717314e-09,0.215568348391389,3.2700390363361485,1.8979017127198992e-06,1.1193236368005222e-08,0.0051857339853321,7.93528207558207e-08,0.0016948679625462,0.0170346894292263,0.4058365447812597,2.04,2.04,2.04,3.0,1.053
MATERIAL_PROCESS_STEP:YARN_FORMATION/SPINNING/RING#SYNTHETIC_FIBERS/ACRYLIC?DTEX=120@WORLD,"Spinning to yarn, Acrylic, Modacrylic, PAN (Polyacrylonitrile), 120 dtex, Ring Spinning",0.0325005041910632,16.246916097123655,86.3112571052678,0.0030542505442184,6.514916373333798,7.35106275130423e-10,3.8339720241991954e-08,0.8571841965750356,12.505076594876668,6.648930193481924e-06,4.1033433783009337e-08,0.0193985720378288,3.077833352835759e-07,0.0066616998417536,0.0667004518308685,1.5878613775756605,2.01,2.01,2.01,3.0,1.1294
MATERIAL_PROCESS_STEP:YARN_FORMATION/SPINNING/MELT_DTY#SYNTHETIC_FIBERS/POLYAMIDE@WORLD,"Spinning to filament, Polyamides (Nylon 6, Nylon 6.6, PA 11, PA 12,…), Melt Spinning (FDY/DTY)",0.0036514093670236,2.1384786379922938,14.179907510661682,0.0003138330426293,0.9992281484337622,1.1975266445398292e-10,4.614883015396799e-09,0.0858070910967841,1.5838156950876006,1.2254144825286256e-06,1.3137351796422391e-08,0.0028869123801077,3.495579067816849e-08,0.000790068108002,0.008182317402323,0.1821756042889481,2.07,2.07,2.07,3.0,1.0309
MATERIAL_PROCESS_STEP:YARN_FORMATION/SPINNING/FOR_WOVEN/RING#PLANT_FIBERS/COTTON?DTEX=150@WORLD,"Spinning to yarn, Coton Combed - Weaving, 150 dtex, Ring Spinning",0.0182949039473146,9.22263905897812,48.562023225764634,0.0017214672976263,3.6679464211606456,4.353568004689072e-10,2.173172108455641e-08,0.4810445262607105,7.099383703751353,3.837748075448449e-06,2.3183800092573293e-08,0.0108898565329051,1.7476992525028997e-07,0.0037540907209934,0.0376274776268038,0.8994841264936075,2.01,2.01,2.01,3.0,1.2212
MATERIAL_PROCESS_STEP:YARN_FORMATION/SPINNING/RING#CELLULOSE_BASED_FIBERS/MMCF?DTEX=120@WORLD,"Spinning to yarn, MMCF (Rayon, Viscose, Lyocell), 120 dtex, Ring Spinning",0.0330913912238901,16.51285123509595,87.68312109747245,0.0031106025246059,6.619632675349587,7.470689025007658e-10,3.90243982047516e-08,0.8734080924860634,12.717423261574789,6.716348795363319e-06,4.17149676263054e-08,0.0196267300345961,3.13313377089446e-07,0.0067832256943829,0.067912515510401,1.6166306471073408,2.0,2.0,2.0,3.0,1.0691
MATERIAL_PROCESS_STEP:YARN_FORMATION/SPINNING/RING#SYNTHETIC_FIBERS/POLYESTER?DTEX=200@WORLD,"Spinning to yarn, Polyester (PET, PBT, PTT, PLA etc), 200 dtex, Ring Spinning",0.0137721599997595,6.9757158514702144,36.93635500206083,0.0012922046666281,2.7854915503063924,3.225253596897178e-10,1.6397220952873263e-08,0.3611396023748728,5.37167653934838,2.992222887861444e-06,1.804752098640375e-08,0.008447017404555,1.3126022320624065e-07,0.0028229758148283,0.0283161036303223,0.6743642094082445,2.02,2.02,2.02,3.0,1.0627
MATERIAL_PROCESS_STEP:YARN_FORMATION/SPINNING/RING#SYNTHETIC_FIBERS/ACRYLIC?DTEX=150@WORLD,"Spinning to yarn, Acrylic, Modacrylic, PAN (Polyacrylonitrile), 150 dtex, Ring Spinning",0.0255260269245748,12.78056137265187,67.83421059315685,0.0023984807891527,5.119810624834014,5.804695677056859e-10,3.014295278041248e-08,0.672756165692594,9.841765536019537,5.2607466545650755e-06,3.2340540361697194e-08,0.0152628349539215,2.420118433812288e-07,0.0052323393789557,0.0524063236700439,1.247619397067468,2.01,2.01,2.01,3.0,1.1268
MATERIAL_PROCESS_STEP:YARN_FORMATION/SPINNING/RING#ANIMAL_FIBERS/WOOL_WORSTED?DTEX=200@WORLD,"Spinning to yarn, Worsted Wool, 200 dtex, Ring Spinning",0.0141141876705795,7.587409678202462,39.94230635823036,0.0013196868394661,3.006231695996567,3.9045631466377625e-10,1.7682194844498242e-08,0.3611743993533949,5.723339401711954,3.793741623683285e-06,2.1768508657098948e-08,0.0099676045153457,1.3750212715250634e-07,0.0028963614023047,0.0291014184665945,0.7027668193205091,2.11,2.11,2.11,3.0,1.087
MATERIAL_PROCESS_STEP:YARN_FORMATION/SPINNING/RING#SYNTHETIC_FIBERS/ELASTANE?DTEX=370@WORLD,"Spinning to yarn, Elastane (Spandex/Lycra), 370 dtex, Ring Spinning",0.0136390153217173,6.845643524164462,36.16633299735593,0.0012816395487676,2.729745843264696,3.1496591665604583e-10,1.612292902142515e-08,0.3590144845922783,5.289231719698795,2.8428569429365662e-06,1.7263529989658632e-08,0.0081013192495485,1.2984700919647868e-07,0.0027965677316801,0.028044568837934,0.6676196502253777,2.01,2.01,2.01,3.0,1.0089
MATERIAL_PROCESS_STEP:YARN_FORMATION/SPINNING/RING#SYNTHETIC_FIBERS/POLYESTER?DTEX=120@WORLD,"Spinning to yarn, Polyester (PET, PBT, PTT, PLA etc), 120 dtex, Ring Spinning",0.0236788854848558,11.898217090769448,63.17380330288588,0.0022237133723234,4.766589779096458,5.420889429489085e-10,2.8037910817880532e-08,0.6231320385522058,9.154077521610464,4.961731729437286e-06,3.038354668745251e-08,0.0143165250611672,2.246807748429258e-07,0.0048532923575315,0.0486198731967695,1.1576479295443696,2.01,2.01,2.01,3.0,1.0691
MATERIAL_PROCESS_STEP:YARN_FORMATION/SPINNING/FOR_KNITTED/RING#PLANT_FIBERS/COTTON?DTEX=330@WORLD,"Spinning to yarn, Cotton Combed - Knitting, 330 dtex, Ring Spinning",0.0070818946234827,3.650727714472273,18.86274571554273,0.0006671417720927,1.4254701940644208,1.8681760202551563e-10,8.555487496141683e-09,0.1845135875707468,2.8180598009322235,1.6078941643302652e-06,9.217902535216072e-09,0.0042449966130655,6.903026732316434e-08,0.0014560647638787,0.0146464949336395,0.3524741273991028,2.03,2.03,2.03,3.0,1.1772
MATERIAL_PROCESS_STEP:YARN_FORMATION/SPINNING/MELT_POY#SYNTHETIC_FIBERS/POLYESTER@WORLD,"Spinning to filament, Polyester (PET, PBT, PTT, PLA etc), Melt Spinning (POY)",0.0015002982539414,1.027142524275837,8.001465107519808,0.000115386617166,0.5408361993898048,6.882410534907156e-11,2.073281058173412e-09,0.0301164003652369,0.7352882734120427,7.442785146953717e-07,9.520027211174124e-09,0.0015597191353909,1.4680349074244784e-08,0.0003441386212433,0.0036806365360526,0.0772264149045679,2.13,2.13,2.13,3.0,1.0309
MATERIAL_PROCESS_STEP:YARN_FORMATION/SPINNING/RING#ANIMAL_FIBERS/WOOL_WOOLEN?DTEX=45@WORLD,"Spinning to yarn, Woollen Wool, 45 dtex, Ring Spinning",0.0665666721693147,33.57492204513861,178.78879021499714,0.0062490869693377,13.48727091746913,1.5326095734807652e-09,7.917457082738666e-08,1.7496169166253834,25.71148263330094,1.4143157231945876e-05,8.70767143740468e-08,0.0410137520730551,6.309071218461517e-07,0.0136420717713418,0.1365529513700119,3.2558329476502763,2.02,2.02,2.02,3.0,1.3793
MATERIAL_PROCESS_STEP:YARN_FORMATION/SPINNING/OPEN_END#CELLULOSE_BASED_FIBERS/MMCF?DTEX=70@WORLD,"Spinning to yarn, MMCF (Rayon, Viscose, Lyocell), 70 dtex, Open-End (Rotor)",0.0297977838549304,14.887883129962184,79.06672284553872,0.002800845991041,5.968344833877987,6.73931959644388e-10,3.5137578666332673e-08,0.78611981389175,11.45904898433543,6.074899043915212e-06,3.753019078289408e-08,0.0177380991961202,2.822228892965921e-07,0.0061081785084161,0.0611544041999729,1.4560286587036992,2.01,2.01,2.01,3.0,1.1347
MATERIAL_PROCESS_STEP:YARN_FORMATION/SPINNING/MELT_DTY#SYNTHETIC_FIBERS/ACRYLIC@WORLD,"Spinning to filament, Acrylic, Modacrylic, PAN (Polyacrylonitrile), Melt Spinning (FDY/DTY)",0.003741039821705,2.1902409716254008,14.522568081589885,0.0003217194762159,1.0233382105871391,1.2220248511825654e-10,4.723040760888938e-09,0.0880152560078779,1.6176223149780689,1.246350754576443e-06,1.3443367326642468e-08,0.0029512499949742,3.5766010650473414e-08,0.0008096468964561,0.0083791416232597,0.1866109138098423,2.07,2.07,2.07,3.0,1.0309
MATERIAL_PROCESS_STEP:YARN_FORMATION/SPINNING/OPEN_END#PLANT_FIBERS/COTTON?DTEX=170@WORLD,"Spinning to yarn, Cotton, 170 dtex, Open-End (Rotor)",0.0087425610217538,4.418535224999507,23.255203170845697,0.0008212914168492,1.7544863048724106,2.0675493064302852e-10,1.0383570387417207e-08,0.2294551980982906,3.416493444280833,1.8749205117085191e-06,1.1240987896449116e-08,0.0052327721712238,8.36537856768795e-08,0.0017931534428246,0.0180020158673653,0.4288547863682015,2.02,2.02,2.02,3.0,1.207
MATERIAL_PROCESS_STEP:YARN_FORMATION/SPINNING/OPEN_END#SYNTHETIC_FIBERS/ACRYLIC?DTEX=170@WORLD,"Spinning to yarn, Acrylic, Modacrylic, PAN (Polyacrylonitrile), 170 dtex, Open-End (Rotor)",0.0115706246273734,5.837829149611212,30.83708097405673,0.0010867780748979,2.326439936861157,2.7044819657974127e-10,1.3732572307739562e-08,0.3039385713049048,4.503212955241423,2.464212372904391e-06,1.4898648048501494e-08,0.0069670793373988,1.1035717399141653e-07,0.0023725524615288,0.0237978178702992,0.5668722253188523,2.02,2.02,2.02,3.0,1.1406
MATERIAL_PROCESS_STEP:YARN_FORMATION/SPINNING/RING#CELLULOSE_BASED_FIBERS/MMCF?DTEX=150@WORLD,"Spinning to yarn, MMCF (Rayon, Viscose, Lyocell), 150 dtex, Ring Spinning",0.0259841714943984,12.981280715162224,68.86013227465428,0.0024423319553177,5.198372314910783,5.894898510901124e-10,3.0670436112148985e-08,0.6854537968050078,10.003787677782466,5.30300522495489e-06,3.2850622028423626e-08,0.0154158450813475,2.4629031365865005e-07,0.0053266474201777,0.0533462880499734,1.2699127009904627,2.0,2.0,2.0,3.0,1.0667
MATERIAL_PROCESS_STEP:YARN_FORMATION/SPINNING/OPEN_END#SYNTHETIC_FIBERS/ACRYLIC?DTEX=70@WORLD,"Spinning to yarn, Acrylic, Modacrylic, PAN (Polyacrylonitrile), 70 dtex, Open-End (Rotor)",0.0323801559561309,16.18042759686605,85.96740794134746,0.0030433735493235,6.48903901145648,7.318432843419501e-10,3.81892774348088e-08,0.8542076313907244,12.449649904883914,6.6063683747320455e-06,4.08367518736073e-08,0.0193073485748006,3.0659788650480026e-07,0.006637288928565,0.0664467613017923,1.5820422198566937,2.01,2.01,2.01,3.0,1.1477
MATERIAL_PROCESS_STEP:YARN_FORMATION/SPINNING/FOR_WOVEN/RING#PLANT_FIBERS/COTTON?DTEX=120@WORLD,"Spinning to yarn, Coton Combed - Weaving, 120 dtex, Ring Spinning",0.0235881152436472,11.852814788739428,62.58120740872961,0.0022191750802932,4.726483901145754,5.526749764366711e-10,2.795150769005096e-08,0.6210270495504537,9.12036718504912,4.89018062910398e-06,2.9775574012588883e-08,0.014026211349533,2.2468512428269045e-07,0.0048388978421897,0.048475878568393,1.1577051858411869,2.01,2.01,2.01,3.0,1.2293
MATERIAL_PROCESS_STEP:YARN_FORMATION/SPINNING/RING#SYNTHETIC_FIBERS/ACRYLIC?DTEX=330@WORLD,"Spinning to yarn, Acrylic, Modacrylic, PAN (Polyacrylonitrile), 330 dtex, Ring Spinning",0.0113028532560261,5.7083541935278195,30.132687818750835,0.0010612561662431,2.273284863602958,2.648848201042836e-10,1.3421224307839816e-08,0.296718946677273,4.408908222078822,2.4236287964685725e-06,1.4581930213283156e-08,0.0068153566948131,1.0787497175133337e-07,0.0023174636908274,0.0232561252699238,0.5537454489487053,2.02,2.02,2.02,3.0,1.1115
MATERIAL_PROCESS_STEP:YARN_FORMATION/SPINNING/OPEN_END#SYNTHETIC_FIBERS/ACRYLIC?DTEX=200@WORLD,"Spinning to yarn, Acrylic, Modacrylic, PAN (Polyacrylonitrile), 200 dtex, Open-End (Rotor)",0.0099243607088115,5.019047461044464,26.471954496030065,0.0009320071102285,1.996873629993328,2.3390580192847883e-10,1.179672968645778e-08,0.2604186107172663,3.874280613175975,2.135430196639868e-06,1.284116514105185e-08,0.0059884571803331,9.483096407649165e-08,0.0020351724822911,0.0204238270292189,0.486558844013528,2.02,2.02,2.02,3.0,1.1386
MATERIAL_PROCESS_STEP:YARN_FORMATION/SPINNING/RING#ANIMAL_FIBERS/WOOL_WOOLEN?DTEX=330@WORLD,"Spinning to yarn, Woollen Wool, 330 dtex, Ring Spinning",0.0070210500021849,3.986442969570311,21.086610738566556,0.0006502108699494,1.5797049262055054,2.1219053812523732e-10,9.174794486172497e-09,0.1749088168664889,2.97593993279039,2.300670340254692e-06,1.2764588113353289e-08,0.0057341031213318,6.936937172550017e-08,0.0014385804591759,0.0145142768222291,0.3509534567815179,2.19,2.19,2.19,3.0,1.1429
MATERIAL_PROCESS_STEP:YARN_FORMATION/SPINNING/RING#SYNTHETIC_FIBERS/ACRYLIC?DTEX=370@WORLD,"Spinning to yarn, Acrylic, Modacrylic, PAN (Polyacrylonitrile), 370 dtex, Ring Spinning",0.0100323608487201,5.075250077665709,26.755996787148646,0.0009418499355104,2.0183907662221965,2.3659586745147297e-10,1.1925011107592866e-08,0.2631592703098014,3.922931093436768,2.167556902331051e-06,1.2982328986105644e-08,0.0060550391639927,9.588973274252139e-08,0.0020571098164254,0.0206522975184592,0.491759431089011,2.02,2.02,2.02,3.0,1.106
MATERIAL_PROCESS_STEP:YARN_FORMATION/SPINNING/RING#ANIMAL_FIBERS/WOOL_WORSTED?DTEX=120@WORLD,"Spinning to yarn, Worsted Wool, 120 dtex, Ring Spinning",0.0238486790455933,12.424628025806149,65.7232667841065,0.002234981729392,4.95286833629613,6.063826267826011e-10,2.9128665198077594e-08,0.6186041647710538,9.440222491649402,5.730160538569348e-06,3.393219040254556e-08,0.0157351270422007,2.293040654604387e-07,0.0048913842837845,0.0490522741718871,1.177659048170562,2.07,2.07,2.07,3.0,1.0989
