Activity,Exchange,Amount,Unit,GHG Impact (kgCO2eq/kg),Contribution (%),Total Activity Impact (kgCO2eq/kg)
"Spinning to filament, Elastane (Spandex/Lycra), Melt Spinning (FDY/DTY)","building construction, hall",2.52e-05,square meter,0.00983067488880977,0.8462580017224117,1.161664039666524
"Spinning to filament, Elastane (Spandex/Lycra), Melt Spinning (FDY/DTY)","market for polypropylene, granulate",0.001,kilogram,0.0022138330026933656,0.19057429059514358,1.161664039666524
"Spinning to filament, Elastane (Spandex/Lycra), Melt Spinning (FDY/DTY)",market for waste polypropylene,-0.001,kilogram,0.0006802881357535881,0.058561521448910185,1.161664039666524
"Spinning to filament, Elastane (Spandex/Lycra), Melt Spinning (FDY/DTY)",market group for tap water,0.5,kilogram,0.0004207886207165443,0.03622291870525139,1.161664039666524
"Spinning to filament, Elastane (Spandex/Lycra), Melt Spinning (FDY/DTY)",market for waste steel,-0.0013,kilogram,2.3862163331715045e-05,0.002054136352414343,1.161664039666524
"Spinning to filament, Elastane (Spandex/Lycra), Melt Spinning (FDY/DTY)","market for wastewater, average",0.0005,cubic meter,-0.0001407732640616506,-0.012118242388054125,1.161664039666524
"Spinning to filament, Elastane (Spandex/Lycra), Melt Spinning (POY)","market group for heat, district or industrial, natural gas",8.31,megajoule,0.3535939172906593,50.47488610073688,0.7005343540250153
"Spinning to filament, Elastane (Spandex/Lycra), Melt Spinning (POY)","market group for electricity, medium voltage",0.402,kilowatt hour,0.2755542987033509,39.334873032295455,0.7005343540250153
"Spinning to filament, Elastane (Spandex/Lycra), Melt Spinning (POY)",market for waste mineral oil,-0.01,kilogram,0.02851998121508766,4.071175246613136,0.7005343540250153
"Spinning to filament, Elastane (Spandex/Lycra), Melt Spinning (POY)",lubricating oil production,0.01,kilogram,0.016999579621524374,2.426658953105009,0.7005343540250153
"Spinning to filament, Elastane (Spandex/Lycra), Melt Spinning (POY)",market for building machine,4.64e-07,unit,0.014710388877678216,2.0998811540301596,0.7005343540250153
"Spinning to filament, Elastane (Spandex/Lycra), Melt Spinning (POY)","building construction, hall",2.04e-05,square meter,0.007958165384371845,1.13601357858428,0.7005343540250153
