Activity,Exchange,Amount,Unit,GHG Impact (kgCO2eq/kg),Contribution (%),Total Activity Impact (kgCO2eq/kg)
STR production [CI],LPG (propane),,,0.1064214120155647,1.9854289709416608,5.360121846368074
STR production [CI],Tap water,,,0.0659869497532918,1.2310718234512417,5.360121846368074
STR production [CI],Wastewater,,,0.0140773264190692,0.2626307166619315,5.360121846368074
STR production [CI],Formic acid,,,0.0160120649306034,0.2987257638826427,5.360121846368074
STR production [CI],"↳ market for power sawing, without catalytic converter",,,0.0198108394127198,0.3695968110527802,5.360121846368074
STR production [CI],↳ Wood burning,,,0.3991779289661814,7.447180127755073,5.360121846368074
STR production [CI],↳ N fertiliser,,,0.2564992720124802,4.785325396777682,5.360121846368074
STR production [CI],↳ P fertiliser,,,0.2564960898687225,4.785266029773556,5.360121846368074
STR production [CI],↳ K fertiliser,,,0.2153453903200304,4.017546550102118,5.360121846368074
STR production [CI],↳ Mg fertiliser,,,0.0072469853066902,0.1352018762707926,5.360121846368074
STR production [CI],"↳ pesticide production, unspecified",,,0.0907840836156075,1.6936944013151731,5.360121846368074
STR production [CI],↳ rainwater harvesting,,,0.0001783894385208,0.0033280855106263,5.360121846368074
STR production [CI],↳ market for ethephon,,,0.0056431389971979,0.1052800506955205,5.360121846368074
STR production [CI],↳ LUC,,,3.618587066621035,67.50941807550377,5.360121846368074
STR production [CI],↳ Peatland draining,,,0.0106638120155051,0.1989471941338561,5.360121846368074
STR production [CI],↳ Transport,,,0.0161017210823003,0.3003984152563742,5.360121846368074
STR production [VN],Electricity,,,0.1130081589018861,3.017878418763116,3.7446226527642144
STR production [VN],Diesel,,,0.1337624953204891,3.572122152862265,3.7446226527642144
STR production [VN],LPG (propane),,,0.1064214120155647,2.84197960339225,3.7446226527642144
STR production [VN],Tap water,,,0.0659869497532918,1.7621788861577656,3.7446226527642144
STR production [VN],Wastewater,,,0.0140773264190692,0.3759344458560489,3.7446226527642144
STR production [VN],Formic acid,,,0.0160120649306034,0.4276015613691707,3.7446226527642144
STR production [VN],"↳ market for power sawing, without catalytic converter",,,0.0236688642922346,0.6320760858176919,3.7446226527642144
STR production [VN],↳ Wood burning,,,0.4769150883705884,12.73599859303682,3.7446226527642144
STR production [VN],↳ N fertiliser,,,0.3064507431095006,8.183754987522816,3.7446226527642144
STR production [VN],↳ P fertiliser,,,0.3064469413506255,8.183653461702258,3.7446226527642144
STR production [VN],↳ K fertiliser,,,0.2572824258170869,6.870717016764441,3.7446226527642144
STR production [VN],↳ Mg fertiliser,,,0.0086582858575361,0.2312191817550641,3.7446226527642144
STR production [VN],"↳ pesticide production, unspecified",,,0.1084636602329088,2.8965177613515447,3.7446226527642144
STR production [VN],↳ rainwater harvesting,,,0.0002131295561774,0.0056916163774226,3.7446226527642144
STR production [VN],↳ market for ethephon,,,0.0067421015497644,0.1800475555203822,3.7446226527642144
STR production [VN],↳ LUC,,,1.6742185374157432,44.70993989687758,3.7446226527642144
STR production [VN],↳ Peatland draining,,,0.1101927274707026,2.942692433625063,3.7446226527642144
STR production [VN],↳ Transport,,,0.0161017210823003,0.4299958253581142,3.7446226527642144
